"","funds_optimal","comp"
"507",1,"T=5"
"508",1.0923637220525,"T=5"
"509",1,"T=5"
"510",1,"T=5"
"511",1,"T=5"
"512",1.43319010458714,"T=5"
"513",1.10846966945927,"T=5"
"514",1,"T=5"
"515",1.6179508353373,"T=5"
"516",1.68926249390616,"T=5"
"517",1,"T=5"
"518",1,"T=5"
"519",1.74468750461836,"T=5"
"520",1,"T=5"
"521",1.71712465045556,"T=5"
"522",1.25609739228151,"T=5"
"523",1,"T=5"
"524",1,"T=5"
"525",1,"T=5"
"526",1,"T=5"
"527",1.52712897661822,"T=5"
"528",1,"T=5"
"529",1.3249989261281,"T=5"
"530",1,"T=5"
"531",1.65112473019609,"T=5"
"532",1.02694216787116,"T=5"
"533",1.55292371320626,"T=5"
"534",1.56130058388498,"T=5"
"535",1,"T=5"
"536",1.09662262021713,"T=5"
"537",1,"T=5"
"538",1,"T=5"
"539",1.58664960553627,"T=5"
"540",1,"T=5"
"541",1.08381241166672,"T=5"
"542",1.56019189821404,"T=5"
"543",1.28648022209083,"T=5"
"544",1.36483460018391,"T=5"
"545",1.10196927136487,"T=5"
"546",1,"T=5"
"547",1.46360193078904,"T=5"
"548",1,"T=5"
"549",1.17971372186676,"T=5"
"550",1,"T=5"
"551",1,"T=5"
"552",1,"T=5"
"553",1.30866202982611,"T=5"
"554",1,"T=5"
"555",1.25210291099705,"T=5"
"556",1,"T=5"
"557",1,"T=5"
"558",1.20727745912449,"T=5"
"559",1.41587707546144,"T=5"
"560",1.36578603402184,"T=5"
"561",1,"T=5"
"562",1,"T=5"
"563",1.53255519456284,"T=5"
"564",1.63219799736293,"T=5"
"565",1.55355045842827,"T=5"
"566",1,"T=5"
"567",1.02780342241823,"T=5"
"568",1.15955433726462,"T=5"
"569",1,"T=5"
"570",1,"T=5"
"571",1,"T=5"
"572",1,"T=5"
"573",1.18497971398888,"T=5"
"574",1.46970859299216,"T=5"
"575",1.02177217896357,"T=5"
"576",1,"T=5"
"577",1,"T=5"
"578",1.60708849765453,"T=5"
"579",1.54971607617187,"T=5"
"580",1,"T=5"
"581",1.12338631860726,"T=5"
"582",1.52153375441894,"T=5"
"583",1.76476647024572,"T=5"
"584",1.25332053859618,"T=5"
"585",1.38238706882657,"T=5"
"586",1.11312148123118,"T=5"
"587",1,"T=5"
"588",1,"T=5"
"589",1.41793034325196,"T=5"
"590",1,"T=5"
"591",1,"T=5"
"592",1,"T=5"
"593",1.19003842781149,"T=5"
"594",1,"T=5"
"595",1.64714960724355,"T=5"
"596",1,"T=5"
"597",1,"T=5"
"598",1.30038518021726,"T=5"
"599",1,"T=5"
"600",1.71296726389751,"T=5"
"601",1.41197120133448,"T=5"
"602",1,"T=5"
"603",1.41449658705271,"T=5"
"604",1.5872935721296,"T=5"
"605",1,"T=5"
"606",1.26828422127212,"T=5"
"607",1.1526678507281,"T=5"
"608",1.61415043374612,"T=5"
"609",1.40955830560721,"T=5"
"610",1,"T=5"
"611",1,"T=5"
"612",1,"T=5"
"613",1.11798761627597,"T=5"
"614",1.53216364628955,"T=5"
"615",1,"T=5"
"616",1.46552247769264,"T=5"
"617",1,"T=5"
"618",1,"T=5"
"619",1.27657005684198,"T=5"
"620",1.65761612586349,"T=5"
"621",1.08698813924355,"T=5"
"622",1,"T=5"
